# GM,diameter,a,e,i,om,w,ma
,11.0,17.8341442925537,0.967142908462304,162.262690579161,58.42008097656843,111.3324851045177,38.3842644764388
,4.8,2.215043249413766,.8482682513981584,11.77999525464905,334.5698056056256,186.5403463055908,75.42955290429077
,,3.53465808340135,0.751299,13.2164,250.669,221.6588,.9469569963959761
,3.54,3.835636436460265,.5685095218726867,9.050019341864118,199.2753340530346,205.0650366558647,348.2424511262002
,,3.10112826228681,0.809796,29.3821,102.9676,14.9468,.1743237848212893
,3.2,3.502568865123947,.6113215449407586,19.48173225771278,138.9362913271884,178.1358688587538,305.3507708416975
,5.2,3.419760445496234,.6375344873771928,22.33587991327543,93.42177380088843,172.4791374973119,320.4893164762886
,4.5,5.6998620708785754374048,0.8197997470243816309221,54.983184844602092766763,270.3416520050764,207.5092459727414,351.4516245290291
,6.0,3.140094842040291,.5115944387599365,10.50258430337173,68.88181348869867,179.3031328527078,203.237608505211
,10.6,3.064173619082169,.5369821897777215,12.02920647808654,117.8087065726701,195.5239601013308,260.5170391089885
,,3.43739642684659,0.539165157022344,13.4604260782461,240.7105038936301,163.6339482047904,7.151751612761402
,,17.121223241407509618738,0.9548123941619716115170,74.176894232522556649200,255.8911443583019,199.028468565403,1.601583044410965
,,16.9067774347548,0.930297147462082,44.609885733805,86.10312835462277,64.64120651677283,1.656899068407468
,4.66,4.243104751563671,.3578283337029269,27.94305013230745,202.1153830643518,159.0487592546983,48.55245959896953
,,3.487775668305367,.7202023626552836,6.79885160400866,13.78071289778196,347.5536068944907,343.3413843758766
,,3.353639907929309,.5627559824200953,4.258176426174414,159.3058969898105,219.6558478138981,14.83388938124628
,3.42,3.619812158216908,.4318487059555174,19.09162446945588,326.7647440435101,24.51319241986094,7.94142702866304
,,3.55954221481951,0.642580982439164,17.7589827722319,240.8755466309168,166.0504171249452,11.51461302314525
,4.8,3.602573738021955,.6255352567887734,30.36856213315691,75.3828362947892,353.4432880799574,316.6290089712147
,,15.6421524304176,0.919831188993609,40.8900610587027,348.0064469311446,57.08095497141959,359.7165728186091
,2.0,3.515549653876195,.7068178874382801,31.90810098618194,195.3970144851808,172.5844249090343,79.15473085623789
,3.0,3.449680130638605,.5473381591556946,4.73691231296802,120.8724870940184,162.761199036012,279.8391470155533
,,17.069206834622299595594,0.9719522579248509597249,19.333940469818628571374,311.5854622141069,129.6106836788667,.2664191525503107
,2.6,4.08201725729564,0.704800355727747,11.7515297577684,79.83103830437537,57.87449254945604,10.5571002171822
,,3.08916688391109,0.566818596285863,10.6387130963875,328.7169509657245,193.7040335562024,11.57706623123575
,2.6,3.017212051869576,.6401624496430395,22.42427046301934,211.5465991582418,2.150636663901096,44.75465741899608
,,9.235960944226864,.9189810923126022,28.96687278723059,250.6264098390235,196.0253968913816,20.61577251683614
,21.4,6.91117047509728,0.775413310267197,14.1856398242153,347.0289241338543,346.9162480897589,24.12183115677739
,30.8,6.007987468896092,.0420903312834263,9.37505298845617,312.4336312720836,50.45323042759253,240.3959899146599
